signal,n,mean_1,exc_1,win_1,mean_5,exc_5,win_5,mean_20,exc_20,win_20,mean_60,exc_60,win_60
volume_spike_down,782,0.16,0.13,47.6,0.25,-0.21,44.4,1.22,-0.13,47.0,3.25,-0.44,44.1
gap_down,781,0.17,0.16,48.1,0.21,-0.21,44.4,1.14,-0.19,46.8,3.03,-0.58,43.5
price_jump_down,762,0.2,0.19,48.4,0.35,-0.09,46.1,1.29,-0.12,47.4,3.23,-0.55,43.6
gap_up,741,0.19,0.02,48.4,0.52,0.11,49.0,1.84,0.65,50.3,3.84,1.04,47.7
price_jump_up,725,0.22,0.05,48.3,0.6,0.2,49.8,2.01,0.8,51.6,4.13,1.28,48.1
volume_spike_up,672,0.2,0.04,47.7,0.45,0.05,49.1,1.72,0.6,50.5,3.7,0.9,47.6
5_years_high,338,0.25,0.16,52.4,0.8,0.53,54.1,2.44,1.21,52.7,4.77,2.5,51.2
5_years_low,33,0.99,1.17,42.4,1.97,1.86,48.5,5.87,3.36,42.4,18.02,13.09,63.3
