signal,n,mean_1,median_1,win_1,mean_5,median_5,win_5,mean_20,median_20,win_20
anomaly_outlier,3453,0.09,-0.03,49.0,0.45,0.34,53.1,2.05,1.68,57.7
volume_spike,1829,-0.03,0.06,51.4,0.24,0.28,52.6,0.97,1.0,55.2
gap_down,791,-0.1,0.06,51.6,0.35,0.12,52.1,2.06,1.51,59.6
5_years_low,786,0.34,0.27,54.1,1.25,1.24,59.3,1.72,1.8,57.8
gap_up,767,0.22,0.16,52.7,0.2,0.18,52.4,1.51,1.04,56.9
price_jump_down,646,-0.33,-0.05,49.5,0.09,0.04,50.5,1.41,1.34,57.5
5_years_high,623,0.14,0.04,50.6,0.21,0.34,54.2,1.41,1.09,55.8
price_jump_up,536,-0.27,-0.05,49.7,-0.2,-0.18,47.8,1.7,1.43,57.9
