signal,n,mean_1,exc_1,win_1,mean_5,exc_5,win_5,mean_20,exc_20,win_20,mean_60,exc_60,win_60
volume_spike_up,345,-0.45,-0.27,45.5,0.3,-0.39,40.6,1.83,-0.7,41.3,7.79,-2.3,33.0
price_jump_up,316,-0.14,-0.05,47.5,0.67,-0.07,42.1,2.36,-0.33,42.2,7.79,-2.7,32.1
gap_up,199,-0.12,0.14,45.7,-0.24,-0.66,38.3,1.27,-0.43,41.8,8.57,-2.22,36.5
5_years_high,99,0.2,0.35,48.5,3.24,1.39,44.3,7.45,3.07,49.5,19.17,3.86,44.9
volume_spike_down,63,0.04,-0.26,44.4,0.25,-0.01,52.4,1.4,0.22,51.6,3.99,-3.88,40.3
price_jump_down,59,-0.21,-0.21,44.1,0.1,-0.08,47.5,1.52,0.02,53.4,2.3,-5.13,39.7
gap_down,56,-0.26,-0.21,46.4,-0.25,-0.09,50.0,0.6,-0.15,53.6,3.15,-1.73,44.6
5_years_low,9,0.23,-0.24,33.3,1.28,-0.59,33.3,-2.0,-1.68,33.3,-0.86,-8.93,44.4
