signal,n,mean_5,exc_5,win_5,mean_20,exc_20,win_20,mean_60,exc_60,win_60
volume_spike_down,925,0.45,0.34,53.0,1.21,-0.24,47.9,3.02,-1.65,38.8
volume_spike_up,770,0.78,0.37,51.4,2.08,1.01,50.0,5.37,1.76,44.5
gap_up,747,0.31,-0.17,48.0,1.82,0.82,46.8,4.83,0.58,44.3
gap_down,654,-0.07,-0.44,46.0,0.57,-0.46,48.6,2.51,-1.9,37.9
price_jump_down,609,0.01,-0.32,48.3,0.65,-0.38,47.2,1.94,-2.56,38.3
price_jump_up,585,0.45,-0.02,46.2,1.82,0.73,46.3,5.32,1.32,41.6
52_weeks_high,397,1.53,1.24,57.1,4.45,3.62,52.8,10.55,6.54,48.9
52_weeks_low,238,0.1,-0.02,50.4,0.59,-0.62,43.3,-0.67,-5.54,32.0
